name,clone_url
flink,https://github.com/apache/flink.git
airflow,https://github.com/apache/airflow.git
beam,https://github.com/apache/beam.git
superset,https://github.com/apache/superset.git
hudi,https://github.com/apache/hudi.git
camel-k-runtime,https://github.com/apache/camel-k-runtime.git
lucene,https://github.com/apache/lucene.git
jmeter,https://github.com/apache/jmeter.git
lucene-solr,https://github.com/apache/lucene-solr.git
spark,https://github.com/apache/spark.git
dubbo,https://github.com/apache/dubbo.git
james-project,https://github.com/apache/james-project.git
nifi,https://github.com/apache/nifi.git
rocketmq,https://github.com/apache/rocketmq.git
accumulo,https://github.com/apache/accumulo.git
spamassassin,https://github.com/apache/spamassassin.git
shardingsphere,https://github.com/apache/shardingsphere.git
cassandra,https://github.com/apache/cassandra.git
tvm,https://github.com/apache/tvm.git
iotdb,https://github.com/apache/iotdb.git
maven-surefire,https://github.com/apache/maven-surefire.git
cordova-ios,https://github.com/apache/cordova-ios.git
openoffice,https://github.com/apache/openoffice.git
incubator-linkis,https://github.com/apache/incubator-linkis.git
pulsar,https://github.com/apache/pulsar.git
parquet-mr,https://github.com/apache/parquet-mr.git
incubator-shenyu,https://github.com/apache/incubator-shenyu.git
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git
iotdb-client-go,https://github.com/apache/iotdb-client-go.git
poi,https://github.com/apache/poi.git
httpcomponents-core,https://github.com/apache/httpcomponents-core.git
groovy,https://github.com/apache/groovy.git
skywalking,https://github.com/apache/skywalking.git
incubator-pegasus-website,https://github.com/apache/incubator-pegasus-website.git
lucenenet,https://github.com/apache/lucenenet.git
activemq-artemis,https://github.com/apache/activemq-artemis.git
incubator-brpc,https://github.com/apache/incubator-brpc.git
cloudstack-cloudmonkey,https://github.com/apache/cloudstack-cloudmonkey.git
iceberg,https://github.com/apache/iceberg.git
httpd,https://github.com/apache/httpd.git
datasketches-website,https://github.com/apache/datasketches-website.git
apisix-website,https://github.com/apache/apisix-website.git
zookeeper,https://github.com/apache/zookeeper.git
incubator-mxnet,https://github.com/apache/incubator-mxnet.git
cordova-cli,https://github.com/apache/cordova-cli.git
dolphinscheduler,https://github.com/apache/dolphinscheduler.git
skywalking-java,https://github.com/apache/skywalking-java.git
bookkeeper,https://github.com/apache/bookkeeper.git
ignite-extensions,https://github.com/apache/ignite-extensions.git
commons-io,https://github.com/apache/commons-io.git
hive,https://github.com/apache/hive.git
arrow,https://github.com/apache/arrow.git
pinot,https://github.com/apache/pinot.git
couchdb-fauxton,https://github.com/apache/couchdb-fauxton.git
orc,https://github.com/apache/orc.git
gobblin,https://github.com/apache/gobblin.git
skywalking-eyes,https://github.com/apache/skywalking-eyes.git
trafficcontrol,https://github.com/apache/trafficcontrol.git
incubator-teaclave,https://github.com/apache/incubator-teaclave.git
apisix-docker,https://github.com/apache/apisix-docker.git
apisix-dashboard,https://github.com/apache/apisix-dashboard.git
trafficserver,https://github.com/apache/trafficserver.git
fineract,https://github.com/apache/fineract.git
incubator-yunikorn-k8shim,https://github.com/apache/incubator-yunikorn-k8shim.git
camel-karavan,https://github.com/apache/camel-karavan.git
incubator-sedona,https://github.com/apache/incubator-sedona.git
incubator-mxnet-site,https://github.com/apache/incubator-mxnet-site.git
incubator-teaclave-website,https://github.com/apache/incubator-teaclave-website.git
solr,https://github.com/apache/solr.git
avro,https://github.com/apache/avro.git
qpid-protonj2,https://github.com/apache/qpid-protonj2.git
geode-native,https://github.com/apache/geode-native.git
geode,https://github.com/apache/geode.git
commons-text,https://github.com/apache/commons-text.git
commons-lang,https://github.com/apache/commons-lang.git
wicket-site,https://github.com/apache/wicket-site.git
servicemix-bundles,https://github.com/apache/servicemix-bundles.git
arrow-datafusion,https://github.com/apache/arrow-datafusion.git
www-site,https://github.com/apache/www-site.git
couchdb-documentation,https://github.com/apache/couchdb-documentation.git
couchdb-erlfdb,https://github.com/apache/couchdb-erlfdb.git
maven-site,https://github.com/apache/maven-site.git
jspwiki,https://github.com/apache/jspwiki.git
ignite,https://github.com/apache/ignite.git
arrow-rs,https://github.com/apache/arrow-rs.git
trafficserver-site,https://github.com/apache/trafficserver-site.git
hbase-site,https://github.com/apache/hbase-site.git
incubator-nuttx,https://github.com/apache/incubator-nuttx.git
atlas,https://github.com/apache/atlas.git
ozone,https://github.com/apache/ozone.git
aries-jax-rs-whiteboard,https://github.com/apache/aries-jax-rs-whiteboard.git
mynewt-nimble,https://github.com/apache/mynewt-nimble.git
echarts,https://github.com/apache/echarts.git
superset-site,https://github.com/apache/superset-site.git
carbondata,https://github.com/apache/carbondata.git
camel,https://github.com/apache/camel.git
airflow-site,https://github.com/apache/airflow-site.git
datasketches-cpp,https://github.com/apache/datasketches-cpp.git
dubbo-go,https://github.com/apache/dubbo-go.git
logging-log4j2,https://github.com/apache/logging-log4j2.git